size,try_no,vector*vector,vector*matrix
8001,4,0.000035,0.536980
8001,5,0.000081,0.476333
8001,6,0.000035,0.562668
8001,7,0.000070,0.470159
8001,8,0.000035,0.504756
8001,9,0.000038,0.473186
8101,0,0.000035,0.481857
8101,1,0.000034,0.491343
8101,2,0.000036,0.475494
8101,3,0.000035,0.502984
8101,4,0.000036,0.495849
8101,5,0.000037,0.523646
8101,6,0.000037,0.534119
8101,7,0.000035,0.578616
8101,8,0.000037,0.543573
8101,9,0.000037,0.557540
8201,0,0.000038,0.536169
8201,1,0.000038,0.536411
8201,2,0.000082,0.489125
8201,3,0.000037,0.510436
8201,4,0.000036,0.514388
8201,5,0.000036,0.493682
8201,6,0.000055,0.517546
8201,7,0.000036,0.544542
8201,8,0.000036,0.555985
8201,9,0.000037,0.554384
8301,0,0.000037,0.562076
8301,1,0.000036,0.562300
8301,2,0.000037,0.544376
8301,3,0.000038,0.558490
8301,4,0.000037,0.578068
8301,5,0.000105,0.531055
8301,6,0.000036,0.512462
8301,7,0.000036,0.513021
8301,8,0.000037,0.529735
8301,9,0.000038,0.546583
8401,0,0.000038,0.578552
8401,1,0.000038,0.577199
8401,2,0.000038,0.566373
8401,3,0.000038,0.545037
8401,4,0.000038,0.543183
8401,5,0.000049,0.570422
8401,6,0.000038,0.537396
8401,7,0.000080,0.542307
8401,8,0.000037,0.531185
8401,9,0.000037,0.520967
8501,0,0.000037,0.521509
8501,1,0.000036,0.500242
8501,2,0.000037,0.513583
8501,3,0.000038,0.514636
8501,4,0.000127,0.553333
8501,5,0.000037,0.537003
8501,6,0.000049,0.554323
8501,7,0.000041,0.581293
8501,8,0.000039,0.525676
8501,9,0.000037,0.553221
8601,0,0.000037,0.548817
8601,1,0.000038,0.573914
8601,2,0.000038,0.539534
8601,3,0.000039,0.546859
8601,4,0.000037,0.544608
8601,5,0.000039,0.534656
8601,6,0.000038,0.590282
8601,7,0.000072,0.563680
8601,8,0.000037,0.571134
8601,9,0.000038,0.549235
8701,0,0.000037,0.568415
8701,1,0.000038,0.595945
8701,2,0.000038,0.572364
8701,3,0.000037,0.556881
8701,4,0.000067,0.539229
8701,5,0.000071,0.531707
8701,6,0.000048,0.552012
8701,7,0.000038,0.534683
8701,8,0.000037,0.551025
8701,9,0.000037,0.555889
8801,0,0.000038,0.564963
8801,1,0.000038,0.558406
8801,2,0.000038,0.571658
8801,3,0.000036,0.550302
8801,4,0.000057,0.544801
8801,5,0.000038,0.573816
8801,6,0.000038,0.557308
8801,7,0.000039,0.566985
8801,8,0.000081,0.572547
8801,9,0.000039,0.560063
8901,0,0.000041,0.579634
8901,1,0.000040,0.587093
8901,2,0.000039,0.573885
8901,3,0.000039,0.572145
8901,4,0.000037,0.572905
8901,5,0.000037,0.633869
8901,6,0.000039,0.629589
8901,7,0.000040,0.635564
8901,8,0.000053,0.692935
8901,9,0.000038,0.668953
9001,0,0.000040,0.662630
9001,1,0.000041,0.749153
9001,2,0.000053,0.641365
9001,3,0.000040,0.699583
9001,4,0.000055,0.667287
9001,5,0.000040,0.651747
9001,6,0.000044,0.671203
9001,7,0.000043,0.643790
9001,8,0.000042,0.655589
9001,9,0.000041,0.658219
9101,0,0.000056,0.682278
9101,1,0.000042,0.697534
9101,2,0.000045,0.650298
9101,3,0.000074,0.696075
9101,4,0.000058,0.696252
9101,5,0.000041,0.744495
9101,6,0.000042,0.646097
9101,7,0.000059,0.630198
9101,8,0.000080,0.636934
9101,9,0.000054,0.637036
9201,0,0.000041,0.650038
9201,1,0.000040,0.635119
9201,2,0.000040,0.683239
9201,3,0.000042,0.668794
9201,4,0.000041,0.680184
9201,5,0.000040,0.686503
9201,6,0.000044,0.650197
9201,7,0.000041,0.652376
9201,8,0.000044,0.768711
9201,9,0.000044,0.725659
9301,0,0.000041,0.807644
